Title,View
"
      In voice chat, when I get a voice call, I will be out of the voice chat
    ","In voice chat, when I get a voice call, I will be out of the voice chat. while the voice chat is supposed to be just muted until the voice call is completed and then the voice of the voice chat returns…"
"
      Not possible to share media from an external source to Telegram
    ",Steps to reproduce 1. Go to any application that allows you to share photos 2. Open a Photo > Use Share option > Select Telegram 3. Tap on send icon  Current result The photo is not sent. Expected result…
"
      [iOS 15] Music isn't playable
    ",The music / audio player doesn't work on iOS 15 Steps to reproduce 1. Open a chat with music 2. Tap on the play button of a music 3. Music bar is shown but no sound can be heard Device info Telegram iOS…
"
      Wrong alignment for RTL languages
    ","The absence of RTL UI causes some visual issues. When it comes to the UI strings, sometimes there is a workaround that translators can do to fix things, but they have nothing to do to align strings to…"
"
      Contacts get shown by their phone number
    ","Contacts will often be displayed by their phone number rather than by their name Steps to reproduce 1. I added a friend in my phone's contacts. 2. At first, Telegram recognizes it and within the conversation…"
"
      “In reply to” preview isn't updated when the message is edited
    ","When a message is edited, “in reply to” previews for that message still show the old message text.  It's fine on iOS and Desktop Steps to reproduce 1. Send a message 2. Create a reply to it 3. Edit the…"
"
      @ mention in a group reveals the name set for a contact
    ","When @-user-mentioning in a group, the user mention link uses the text set for a contact, but not the public name set by that user. It may be the serious vulnerability risk of exposing of the name of…"
"
      Low quality of video previews in inline mode when combined with photos
    ",Low quality of video previews in inline mode when combined with photos Steps to reproduce 1. Go to https://t.me/SavedImgBot. 2. Start the bot and send it some photos(!) and videos(!). One photo and one…
"
      Missing previews for Instagram links
    ",Instagram links don't generate previews in any Telegram app since November 2020.  Note: This happens because the Instagram service is blocking Telegram from generating accurate previews of their posts.…
"
      Telegram is missing in CarPlay
    ",Steps to reproduce 1. Open the CarPlay menu in iOS Settings 2. Go to the apps list Current result Telegram is available on CarPlay again. Device info Any iOS device since December 2020 (v. 7.3)
"
      Duplicated results in the sticker suggestions panel by emoji and inline bot search
    ","If you scroll up and down the sticker suggestions panel by emoji, stickers change its positions and wrong stickers are sent. Steps to reproduce 1. Type an emoji or use a inline bot in the input field…"
"
      Incoming call notifications are broken
    ","(Warning: video contains very loud sounds.) When an incoming call is received, the operating system plays an ugly fallback notification sound that mutes the ringtone for some 3−5 seconds. Making incoming…"
"
      [iPad] Outgoing video in video call is upside down in landscape mode
    ",Workaround Rotate the iPad to portrait mode and then back to landscape orientation. Steps to reproduce 1. Make or recieve a video call on an iPad in landscape mode. Your call partner can be using any…
"
      Dark theme not considered as dark
    ","Telegram Android only defines whether a theme is dark or not based on the name of that theme.  If a theme is named ""Dark Blue"" or ""Night"", it will be considered as dark. Otherwise it will be considered…"
"
      [Apple Watch] Reply button does not work
    ","Workaround Uninstalling the Telegram Watch app will make the reply button work via native Apple Watch notifications, but it won't be possible to reply messages if the iPhone isn't connected to the Watch.…"
"
      Videos are automatically converted in 30 fps on any quality setting
    ","When I send a 60 fps video to any chat, it is converted into 30 fps, regardless of quality setting Steps to reproduce 0. Record a video in 60 fps. For example, via native iOS screen recorder 1. Go to…"
"
      Rich notifications are not working
    ","Rich notifications were supported for photos, stickers, and animated stickers, but they are not working anymore. Steps to reproduce 1. Close Telegram app 2. Receive notification message that has media…"
"
      Contacts whose names start with an accented letter shouldn't be listed at the end
    ","Alphabetical sorting in the Contact list doesn't consider accented letters as regular ones, so contacts whose names start with an accent letter aren't grouped inside the regular letter. Reproduction steps…"
"
      Poor sound quality of voice messages on Android compared to ios with a better microphone on Android.
    ","I encountered this problem: on the Android version of Telegram voice messages lose quality. And so on all Android phones, as I read on the Internet the problem is common. And on the iOs version the voice…"
"
      Formatting styles are lost when copying and pasting text
    ","When you copy and paste strikethrough or underline text or text where multi-formatting is used, part of the formatting (or even all of it) will be missing. Steps to reproduce 1. Send underlined or strikethroughed…"
"
      [VoiceOver] List of unreadable objects
    ","These objects are available to use, but can't be read by device, so they get useless: Pending  Clear all button of search https://telegra.ph/file/33802c267750606c6d037.jpg  Call summary https://teleg…"
"
      Live location user tracking not working in official TG on android
    ",Live location user tracking not working in official TG on android. Steps to reproduce 1. Start Live Location sharing 2. Hit crosshair to focus on the user 3. Move with your car or by foot 4. Observe how…
"
      Semi-Transparent header is not working
    ","After upgrading to 8.6.0, the new Semi-Transparent feature is not working at all. Steps to reproduce 1. Upgrade to 8.6.0 2. Choose a theme 3. That's it! Device info Telegram Android 8.6.0 (25879), Samsung…"
"
      The ""contact joined Telegram"" option is disabled, but pop-up notifications always come
    ","The ""contact joined Telegram"" option is disabled, but notifications always come. This bug has been appear for years, the option is always turned off for me, but I constantly get damn notifications with…"
"
      Send video message that is longer than one minute
    ",send video note that is longer than one minute! Steps to reproduce before last Telegram update; bots can sending round video (video note) longer than 1 minute. for example you can see this: https://t…
"
      Badge counter remains stuck after the 8.2 update
    ",iOS badge counter shows unread messages even when they are all read. I just updated to the latest version of telegram. Steps to reproduce 1. receive a message 2. go and see the chat 3. press the home…
"
      Pinned message does not disappear on your side
    ",Steps to reproduce 1. In a private chat ask your conversation partner to pin and unpin a message 2. Close the app from recent tasks or force close it (you may need to do it several times) 3. Open the…
"
      pop-up notification error with 2 dialogs or more
    ","Notifications are received incorrectly. I tried it on three different phones. If you receive 2 or more notifications from different dialogs at the same time, then 1 notification from 1 dialog appears…"
"
      Text and stickers added with video editor are not shown once the video is sent
    ","Steps to reproduce 1. In any chat, tap on paper clip > Choose a video 2. Tap on the pencil > Add Text Box or Sticker 3. Send the video Current result Once the video is sent, the text and the stickers…"
"
      HDR videos have wrong colors if sent compressed.
    ","If a video is recorded from an iOS device with HDR enabled, when sending it to Telegram as a compressed video, the color balance is not correct, resulting in a greenish tint all over the video. For instance…"
"
      No audio in calls, video calls and group voice chats
    ","When connecting to a group voice chat/voice call/video call, it is not possible to hear anyone and other participants are unable to hear you. Voice/video messages work without any issues.  Steps to reproduce…"
"
      [M1 Chip] App freezes when camera is activated with a video call
    ",Steps to reproduce 1. Start a video call. OR 2. Start a voice call activate camera to switch to video call. Current result The app freezes and needs to be relaunched. Expected result Video call works…
"
      Voice Messages become jerky when an Animated Emoji with sound is pressed
    ",Steps to reproduce 1. Go to any chat 2. Send a Voice Message and an Animated Emoji with sound (⚰️🎃🧟🍑❤️🦾🎄🎊🎉) 3. Play the Voice Message 4. Press on the Animated Emoji while the Voice Message is playing…
"
      Not possible to tap on links in the explanation popup of quizzes
    ",Nothing happens when tapping on a link that is inside the explanation popup of a quiz. No issues on iOS or Desktop. Steps to reproduce On a group or channel 1.Create a Poll > Add some options 2. Enable…
"
      [VoiceOver] List of inaccessible objects
    ",These objects are inaccessible by VoiceOver: Pending  Logged in with Telegram item list (Websites)  Modern share menu https://bugs.telegram.org/c/3032/public  Chatlist tabs and search tabs https://te…
"
      Video call wrong zoom factor
    ","During a video call one participant was zoomed in, without seeing it. So basically the camera on the participants device mirrored the person showing him the full face but on the recipient device only…"
"
      Turn off reactions' animation
    ","When i try to make reaction for many messages it starts to crash, i think the problem is because of my phone is not so powerful. So i suggest to make turn off button for sliding reactions bar and  animation…"
"
      Spotify link preview not working
    ","Since of 2 days ago , I have been experiencing an issue where song links that I copied from Spotify and pasted into telegram no longer open a preview like they used to. Before this bug occurred when I…"
"
      Direct Share doesn't show your frequent chats first
    ",Direct share seemingly chooses random contacts and not the most recent chats. Please fix the Direct Sharing targets in Telegram. For years I am getting some very weird targets while sharing something…
"
      [iOS 14] Distorted voice recordings if sound recognition is enabled
    ","Voice messages on iOS 14 get broken (audio is slow, distorted). A short 5-second voice message changes in speed and duration. It can't be reproduced in other apps. Workarounds  Update to iOS 15  Disable…"
"
      [Apple Watch] When expanding grouped notifications, only the first one is shown
    ","Workaround Uninstall the Telegram watchOS app:  iOS Watch App > Telegram > Do not show . When receiving several notifications on the Watch, it's not possible to see all of them when tapping the group…"
"
      No background noise suppression
    ","Telegram apps detects that certain sounds aren't speech (e.g. keyboard clicking), and doesn't light up the mic visually, but it still sends the sound to other participants in a group voice chat. Steps…"
"
      Media sent before the upgrade to supergroup aren't visible in the shared media section
    ",Steps to reproduce 1. Create a New Group 2. Send at least 40 photos or videos 3. Upgrade the group to supergroup For example by changing the 'Chat history for new users' to visible. Current result Once…
"
      Low-res images turn into stickers when sharing from other apps
    ",Sharing a low resolution image (less than 700x700px) results in it getting sent as a sticker. Steps to reproduce 1. Share any low-res photo from another app 2. It's sent as a sticker Device info Telegram…
"
      Icon in the menu bar looks not well with light background
    ",The icon in the menu bar looks not well with light background. On a dark background everything is good though. Steps to reproduce 1. Set a light background in System Settings > Desktop 2. Open Telegram…
"
      [iPad] Keyboard doesn’t correctly close when switching chats
    ",Related Issue: [iPad] Keyboard isn’t correctly opened in empty chats Steps to reproduce 1. Open a chat > Tap on the input field to open the keyboard 2. Tap on another chat Current result The keyboard…
"
      Reaction animations always play even when the ""Enable animations"" toggle is turned off
    ","Reaction animations always play even when the ""Enable animations"" toggle is turned off Steps to reproduce 1. Go to the chat settings screen 2. Disable the ""Enable animations"" option 3. Open any chat 4.…"
"
      sendDocument tgs stickers problem
    ","I have problem with Telegram Bot API. When i send any *.tgs sticker from bot to private chat it's have document type, also i get response ""mime_type"":""application/x-bad-tgsticker"". Before i didn't have…"
"
      Profile page broken after banning a member
    ",Steps to reproduce 1. Have one group in common and no chat history with your partner 2. Go to the group in common you have with him 3. Ask your partner to leave the group (or ban him) 4. Open his profile…
"
      Group chat history not available for a re-joining member
    ","Hey, I have a group chat with a few friends. The group chat settings WERE: ""private"" with ""hidden history for new members"". I accidentally removed one friend and added him back a minute after. After re…"
"
      Media items from DC2 are not downloading with a specific ISP (BSNL) in India
    ",Steps to reproduce 1. Try downloading media from a different DC from the connectivity test channel https://t.me/connectivity_test Current result All media except DC2 is downloaded Expected result All…
"
      Sharing videos into telegram
    ",Sharing a video from within the app or from outside the app shares it as a file not as a video (showing the filename). Steps to reproduce 1. Open your gallery app 2. Share a video into telegram 3. The…
"
      Can't hear last people entering voice chat if voice chat has more than 5 people.
    ",Can't hear last people entering voice chat if voice chat has more than 5 people. This happens on all platforms. Steps to reproduce 1. Have 5 people in the same voice chat. 2. Have another person join…
"
      Scheduled messages are sometimes sent at the wrong time and in the wrong order
    ",Messages that I have scheduled for the channel are sent out of time and in a different order. Steps to reproduce 1. Schedule multiple posts to the channel with a time difference of 1-2 minutes; 2. Close…
"
      It is not possible to share location on Android devices without Google Play Services
    ",There's not option to share location in Android versions without Google Play Services. Huawei's devices can't install Google Maps or any other Google's app. Steps to reproduce 1. Share location Device…
"
      Telegram on iPad hangs on call screen and keeps the screen on
    ","When somebody calls via Telegram and I take it on other device, Telegram on iPad hangs on call screen and keeps screen on. Steps to reproduce 1. Somebody calls 2. Take the call on other device 3. Telegram…"
"
      Spoiler disclosures in the notification
    ","After the update, when you try to send a spoiler, it is revealed in a notification. Device info Telegram Android 8.4.1 (25229), Samsung Galaxy A51, 11 R? (30)"
"
      Overlapping in a Persian (maybe any RTL) message with a partial spoiler effect
    ","The telegram android renders the Persian text with spoiler incorrectly, the similar issue has been raised for Hebrew in a previous message as well, but I thought might be worth a separate card. (You can…"
"
      Replies notification counter doesn’t decrement after read
    ","Related: ""@"" Badge won't disappear when chat is opened but app is minimized or group info is opened When tagged in a group chat or receive a reply, the ‘@‘ counter specifying the number of tagged messages…"
"
      Chat import gets stuck
    ", You can find out more about chats import feature from the blog Related: Chat import stops as the import window closes Steps to reproduce 1. Import a chat to Telegram 2. Wait Current result Import gets…
"
      PAYMENT_CREDENTIALS_INVALID (Bug on the Android app)
    ",Steps to reproduce 1. Open a shopping cart (in a bot) 2. Try paying with GooglePay or by entering your card manually Current result PAYMENT_CREDENTIALS_INVALID error Expected result Successful payment…
"
      Sharing webp images makes them act like stickers
    ","When uploading images that use the webp format, Telegram app forces them to be stickers. I'm unable to click or tap on them to get a larger view on macOS and iOS clients. Steps to reproduce 1. Download…"
"
      People can't hear each other on channel voice chats with many users
    ",We host voice chats on the channel with up to 100 people attending. Always many people can't hear others. You have to leave and join the voice chat again to hear who is currently speaking. This happens…
"
      Chat does not get removed from folder's exceptions list after leaving or deleting the chat
    ",Related: Same issue on Telegram Desktop Steps to reproduce 1. Add a chat as an exception in a folder. 2. Leave or delete the chat from Telegram Android application. 3. View the Folder Exceptions. Current…
"
      The Emojis/Stickers panel is broken in the Android 11's bubbles!
    ","If I touch the emojis or stickers button, it opens a pop up that full the screen, instead of just a little part. Steps to reproduce 1. Open a notification bubble 2. Touch on emojis or sticker button Device…"
"
      Link previews for YouTube Music playlists are not generated
    ",Related: Link previews for YouTube playlists are not generated Youtube Music links do not generate proper preview: it's generated a generic preview image and description. Steps to reproduce 1. Send any…
"
      Add option to disable auto-play next voice message
    ","When playing a voice message on a chat, next voice message is automatically played next, no matter where is it in the thread. This means it could jump very far in the conversation, and then one would…"
"
      Dice sent through ReplyKeyboard of a bot are sent as normal emoji
    ","No issue on Telegram Desktop and Android. Note A Dice on Bot Api is one of these emoji: 🎲, 🎯, 🎳, 🏀, ⚽, 🎰 Steps to reproduce 1. Go to @BossySharkBot 2. Use /dice command 3. Click on any button Current…"
"
      Calls iPad
    ",The incoming call indication on a locked iPad does not stop if I answer a call on an iPhone or PC. The incoming call will be displayed until it is declined manually on iPad or until the iPad runs out…
"
      Bug timecode Android
    ","Timecodes stop working after editing messages on Android Steps to reproduce Timecodes stop working after editing messages on Android Device info Telegram Android 8.3.1 (24959), Xiaomi Redmi 7, 10 Q (29)"
"
      Telegram is unable to obtain access to internet storage(all files)
    ","Clicking on paper clip icon in order to open media and files, I wanted to send a file by Telegram's in-app file browser. Telegram asks me to allow it manage all files to open in-app file browser. I click…"
"
      Reversed username preview
    ",Steps to reproduce 1. Set app langauge as Arabic (or any other RTL language?) 2. Go to username page 3. Type something  The username link preview below the screen is reversed Device info Telegram iOS…
"
      Self-Destruct timer freezes in Secret Chats, Photos don’t disappear
    ","When multiple photos were sent in a secret chat with a 1 second timer, and your partner opens them quickly, the timer can get stuck. Steps to reproduce 1. Set the timer to 1 second 2. Send multiple photos…"
"
      Memory leak when videos autoplay feature used on Windows
    ","The app uses too much memory when scrolling groups and channels containing numerous videos; once a specific amount (which may vary) is exceeded, this could lead to a crash. Workaround Go to Settings >…"
"
      A generic message is shown when adding a user that joined too many groups and channels
    ","If you try to add a user who has joined too many supergroups and channels, the app show the message : 'Could not add user. Please try again later.' The following text should appear as on Telegram for…"
"
      Telegram clients doesn't support MarkdownV2
    ","Official Telegram clients doesn't support MarkdownV2 specification described in https://core.telegram.org/bots/api#markdownv2-style E.g. if I try to send add language name for syntax highlighting, this…"
"
      Encrypted calls randomly crash Telegram on iOS
    ",Encrypted calls randomly crash Telegram on iOS (v8.1.2 on iOS 15.0.2). This will lead to an abrupt end of the call and the other participant won't even notice immediately. Sometimes when this happens…
"
      Quiz description 3
    ","If you create a quiz with a description of more than three lines, then they merge into one Steps to reproduce 1. Create a quiz 2. Enter 4 lines into the description 3. Post a quize Device info Telegram…"
"
      Themes are not saving and some options in theme editor are gone
    ","Options for bubble's gradient are gone as well as many other things too! also, themes are not saving after clicking on the save button. Steps to reproduce 1. make a new theme 2. go to a private chat with…"
"
      Crazy emoji
    ","When using Telegram, a window with emoji constantly pops up. This is very annoying. Please make it possible to remove this function in the settings. Steps to reproduce When using the application, the…"
"
      If I enable video in an audio call, audio output should be speakers automatically!
    ","If I am doing a audiocall, and THEN I share the video (so it became a video call), audio MUST have speakers as output. It shouldn't be needed to click the icon in top right to actually listen by the speakers.…"
"
      'Undo' is missing when deleting multiple chats
    ",Related: 'Undo' is missing when deleting multiple chats [Android X] Steps to reproduce 1. Select multiple chats 2. Click on the bin icon > Delete Current result The 5 second Undo button doesn't appear…
"
      Not possible to copy part of text with keyboard open
    ",Steps to reproduce 1. Go to any chat to find a text message 2. Open your keyboard 3. Long press on the text message 4. Select a part of the text Current result Options Select all and Copy are not visible…
"
      Distorted video. Wrong proportions
    ",When I send a video from camera roll it often has distorted size. “Like landscape shown in portrait proportions” Problem doesn’t  occurs If video is sent directly in chat. Steps to reproduce 1. From camera…
"
      Echo on Voice/Video calls on Android
    ","I use a Galaxy S20 FE 5G and the other person is on an iPhone 11. The issue is that the other person can hear themselves from my end. I don't hear myself from their end, so the issue is entirely on my…"
"
      Windows App - UI Scale/Resolution on multiple screens
    ","On Windows with multiple screens of different resolutions, the app does not update its resolution. On a 2736  1824 screen we have to set the telgram resolution to 200% and on a 1920  1080 the application…"
"
      Videocall
    ",#bug #visual The interlocutor does not see me when I call the video call. On the auto the rotation of the screen sees me. This seems to be the problem of the seventh android (arm-v7a) Steps to reproduce…
"
      Unable to send albums in groups with slow mode enabled
    ",Unable to send albums of picture or videos in groups with slow mode enabled because of the error: Slow mode is enabled. You can't send multiple files at once. In Telegram Desktop and Telegram for Android…
"
      Bug with unread messages counter
    ","The bug is that when you open a channel with the some number of unread messages (presumably more than ~20), when the counter of unread messages is updating for this channel, after restarting the application…"
"
      Couldn't change Username
    ","When I tried changing my username on this account, after clicking the ""save changes"" button the username remains the same as the old. Steps to reproduce 1. Click on the edit profile on the settings page…"
"
      Shared webp images act like stickers (Windows)
    ","As requested in https://bugs.telegram.org/c/4360/6 this is a ticket for Telegram Desktop (Windows). Webp images behave like stickers, not like other images. They do not appear in the image gallery. They…"
"
      Problem with calling in Telegram Desktop
    ","I can not make voice or video calls in Telegram Desktop. While my internet connection is not a problem. It gets stuck at this stage (exchanging encryption keys) and then finally says ""failed to connect"".…"
"
      App crashes after translation in private chats
    ","When I click on the ""Translate"" button in a private chat, the app crashes. Steps to reproduce 1. Open a private chat 2. Tap on a message 3. Use the ""Traslate"" button Current result The app crashes Expected…"
"
      New semi-transparent night-mode blur effect for Android not working
    ",Semi-transparent nigth mode blur effect does not work in my device. Steps to reproduce Just open Telegram 8.6 for Android in a device with similar characteristics to mine. Device info Telegram Android…
"
      Can't share voice recording to Telegram on iOS
    ","Related: Not possible to share voice recordings with a comment On iOS, when you use the Share menu to share an audio file from any app to Telegram (e.g., from Voice Recorder or WhatsApp), the message…"
"
      Voice Call ends when pressing the side or lock button while on speaker mode
    ","Normally on an iPhone, pressing the lock/side button during a phone call will end the call. There are two conditions when a call continues: with headphones or while on speaker mode. Workaround Disable…"
"
      Can't schedule voice messages
    ","Workaround It's possible to schedule a voice message from the the Scheduled Messages menu. To access the menu, schedule any message – you will see a new button in the input field. Steps to reproduce 1.…"
"
      No search results for partial file name in Shared Media
    ","The app shows no results when entering a partial search term for a file name in Shared Media > Files. Steps to reproduce 1. Open any chat, go to Shared Media > Files 3. Enter several (1-2) symbols   Current…"
"
      ""Manage Voice Chats"" privilege is missing from admin rights in basic groups
    ","Steps to reproduce 1. Open a basic group profile, Edit > Administrators > Add Admin Current result The Manage Voice Chats option is missing from the admin rights list. Expected result The app shows the…"
"
      [VoiceOver]  Swipe/flick right or left with one finger should select the next/previous item and scroll the list
    ","When selecting an item and swiping/flicking right or left with one finger, VoiceOver should select the next or previous item and don't go out of the chat history when reaching the limit of the visible…"
"
      @ mention badge icon won't disappear when chat is open but app is minimized or group info is opened
    ","Related: Replies notification counter doesn’t decrement after read When opening a group info or minimizing the app while a group is open, if someone mentions you in that group, the badge won't go away…"
"
      Verification code does not arrive when using SMS
    ",When I try to register a new account or log into an already existing account from any desktop app or web app no SMS with the code is recieved. Device info Any Desktop app or Web app Admin Dog comment…
"
      Mute feature broken in group audio calls >5 people
    ","When in a group audio call with more than 5 people, only the first five people to unmute can be heard by the others on the call.   Any additional people to join and unmute will not be heard, even though…"
"
      Bug on applying a custom language pack
    ","Hello guys, i have a problem, although my language pack was working fine before, now if for example i change the app language to English and then back to my pack, it doesn't get applied... Also some of…"
"
      Play music from bottom to top order
    ",Play music bottom to top (currently top to bottom). No one want's to listen to a song over and over again. It's a big deal for me and probably other desktop users. Thanks❤ Steps to reproduce 1. Go to…
"
      WearOS app missing from Play Store
    ",WearOS app is missing from Google Play Store Steps to reproduce 1. Search for Telegram app for Wear OS. 2. No Telegram app.
"
      Terrible screen sharing resolution in channel and groups.
    ","Please fix the very low quality and resolution screen sharing in groups and channels. Notwithstanding I have a very good internet connection, the screen sharing resolution is really terrible and awful.…"
"
      GIFs are shown as cut in the GIF library
    ",Steps to reproduce 1. Send a GIF or manually add it in the GIF library  Current result The gif is correctly shown in full-size. Expected result The gif is shown as cut. Device info Any Android Devices.
"
      Quizbot leaderboard bug
    ","After conducting 5 quizzes with Quizbot in a telegram groupchat, 3 times already we had complaints from people who participated and where not selected among the winners.  Each quiz we have about 50 participants.…"
"
      Clicking on telegra.ph links
    ","Clicking on telegra.ph links Steps to reproduce 1- Clicking on telegra.ph links does not open in In-App Safari ، Opens in Instant View only 2- Because of that, I can't edit my posts on telegra.ph and…"
"
      Hidden numbers appear
    ","This problem occurs for the Persian language of Telegram. When you spoil a text or password and exit the chat, that text will not be hidden and will be seen outside the chat. Steps to reproduce 1. Write…"
"
      The group name should not be in the mention list
    ",Steps to reproduce 1. Go to group 2. Type @ + Name Of The Group 3. Press on the group name from the list Current result Press on the group name does nothing. Expected result The group name should not…
"
      Numbers are reversed in member count, polls, etc when the app is set to a RTL language (Arabic, Hebrew, Urdu, etc)
    ","Examples  The number: 13 is displayed 31 in poll voters count!  The number: 159 is displayed 951 in chat members count! * The number of the version is: 2.1.6, and it's displayed 6.1.2! You can find this…"
"
      inline bot does not work for anonymous admins
    ","Steps to Reproduce 1) As anonymous admin of a group use any inline bot Current Result Bot does not work for anonymous admins. Expected Result Bot works correctly, despite being anonymous. Device info…"
"
      [iOS 15] Aqua and Sunset app icons are blurry
    ","Aqua and Sunset icons are still blurry on iOS 15 beta 8. I reported this around beta 1 but was told this is iOS 15 issue, but it still exists in beta 8. Is there a solution? Steps to reproduce 1. Open…"
"
      Status bar intersects header on iPad Mini (6th Gen)
    ","On the 2021 iPad mini, the status bar intersects the header when the device is in horizontal mode Steps to reproduce 1. Open the Telegram app on iPad Mini (6th Gen) 2. Turn the device into horizontal…"
"
      Problem sending files in Android 11
    ","Telegram in Android 11 can not send any file other than media, such as: pdf, zip, ...😐 Steps to reproduce News related to the problem: Telegram has adapted to Android API 30 in a horrible way. Now, non…"
"
      [iOS 15.2] App freezes when tapping on the attach button if access to Photos hasn't been given
    ",Workaround Wait for the app to unfreze and give access to Photos on iOS Settings > Telegram Steps to reproduce iOS 15.2 only 1. Make a fresh app install Or remove the access to Photos from iOS Settings…
"
      Video sticker does not work on the image
    ","When you try to add a video sticker over an image, it will not work like an animated sticker. And that picture won't converted to gif format. That video sticker will remains static. Steps to reproduce…"
"
      Emoji from Gboard keyboard are not visible in the message field
    ",Emoji selected from the Gboard keyboard are not always visible in the message field. They can be seen only if additional emoji are also added. The effect stops after several emoji are written. Steps to…
"
      Gender-neutral versions of emojis are displayed in the list of recently used emojis
    ","Steps to reproduce 1. Send an emoji, which is not gender-neutral 2. Open emoji pannel and have a look at the list of recently used emojis Current result Gender-neutral version of that emoji and the gender…"
"
      Incorrect order for tracks across several playlists
    ","Music doesn't seem to be playing in the correct order when they're distributed across playlists, user reports that this issue started to happen with the 7.3 update on Android. The files are uploaded in…"
"
      Telegram calls don't show up on Apple Watch
    ","Telegram calls don't show up on Apple Watch - unable to reject or receive a call. After the caller drops the call, a missed call notification appears on Apple Watch. Steps to reproduce 1. Make a Telegram…"
"
      Albums in scheduled messages bug
    ","Problem with albums in scheduled messages. Sometimes (it's very random) media from scheduled album is posts not fully, it can be 1 or 2 missing media (photos or videos). For example I schedule album with…"
"
      Not possible to see replies of an album if you open the context menu from the right side
    ",It is also impossible to open the thread if there are 2 medias on the left side of the album (see the second video) Steps to reproduce 1. Find any supergroup with an album of pictures/videos 2. Reply…
"
      Back button on Android 11's bubble crash the app!
    ","If I touch the back button in a notification bubble, the bubble crash! Steps to reproduce 1. Turn the bubbles on 2. Receive a message 3. Tap on back button Device info Telegram Android 7.4.2 (22277),…"
"
      Icon groups aren't showing on Android 11's bubbles.
    ","When I receive a group message on Telegram, the group icon isn't showed. Instead of, I see a Telegram icon! (in particular messages it doesn't happen).  And, please, hide the  group/contact icon from…"
"
      [TalkBack] Revise how links are shown in text messages
    ","Telegram shows links in messages like WhatsApp. It’s not good for messages that have lots of links or hashtags.  For example, as you see in my video, my message has five links. For reading this message…"
"
      Chat history is not showing for a user in Group after Enabled and rejoin the group.
    ",Chat history is not showing for a user in Group after Enabled and rejoin the group. Steps to reproduce 1) UserX join a group via invite link (Chat History Disabled) - user not see chat history 2) Admin…
"
      Bad audio/video calls quality
    ","Since the beginning of February, the quality of audio and video calls has deteriorated. During calls, there are hisses, delays, and very poor sound quality.During a video call the image becomes black…"
"
      Animated stickers taking up too much cache?
    ","Animated stickers take a lot of space As I've read on the Telegram FQA site, stickers are supposed to take a really small amount of space and move fluidly. I'm not sure whether it's the update, my phone/telegram…"
"
      App crashes when changing volume of an audio file
    ",Steps to reproduce 1. Play any audio file 2. Press the speaker icon or hover over it to adjust the volume Current result App crashes Expected result It is possible to change the volume of the audio file…
